drzava,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Guinea,2000.0,2100.0,1100.0,1100.0,1000.0,1000.0,1100.0,1100.0,1100.0,1300.0
Lebanon,6000.0,5900.0,10300.0,11100.0,14200.0,14400.0,15900.0,15600.0,15800.0,18100.0
Bulgaria,9600.0,10700.0,11800.0,12900.0,12800.0,13500.0,14200.0,14100.0,14400.0,17900.0
Slovakia,16300.0,18200.0,20200.0,22000.0,22200.0,22000.0,24300.0,24100.0,24700.0,28300.0
Cyprus,,7135.0,27100.0,21300.0,21000.0,21000.0,26900.0,26800.0,24500.0,30900.0
"Saint Helena, Ascension, and Tristan da Cunha",,,,,2500.0,2500.0,2500.0,7800.0,7800.0,7800.0
"Micronesia, Federated States of",2300.0,2300.0,2300.0,2200.0,2200.0,2200.0,2200.0,7100.0,7300.0,3000.0
Eritrea,1000.0,1000.0,800.0,700.0,700.0,600.0,800.0,700.0,1200.0,1200.0
Saint Lucia,4800.0,4800.0,10700.0,11100.0,11100.0,11200.0,13300.0,13000.0,13100.0,11600.0
Saint Helena,2500.0,2500.0,2500.0,2500.0,,,,,,
Mexico,10000.0,10700.0,12400.0,14300.0,13800.0,13900.0,15300.0,15400.0,15600.0,18000.0
Nigeria,1400.0,1500.0,2100.0,2300.0,2400.0,2500.0,2700.0,2700.0,2800.0,6100.0
Djibouti,1000.0,1000.0,2300.0,2700.0,2800.0,2800.0,2700.0,2600.0,2700.0,3100.0
Monaco,27000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,70600.0,85500.0,78700.0
Burma,1700.0,1800.0,1900.0,1200.0,1100.0,1400.0,1400.0,1600.0,1700.0,4800.0
Guatemala,4700.0,5000.0,5100.0,5300.0,5200.0,5200.0,5200.0,5200.0,5300.0,7500.0
Luxembourg,65900.0,71400.0,79400.0,81200.0,81800.0,82600.0,80700.0,78000.0,77900.0,97600.0
Czech Republic,20000.0,22000.0,24500.0,25900.0,25600.0,25600.0,27200.0,27000.0,26300.0,30000.0
