drzava,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Luxembourg,4.0,6.2,4.5,-0.9,3.2,3.4,0.2,0.3,0.5,5.6
Czech Republic,6.1,6.4,6.6,2.6,1.8,2.3,-1.0,-1.2,-0.9,2.0
Japan,2.6,2.2,2.0,-0.7,3.0,3.9,2.2,2.0,2.0,-0.1
Chile,6.3,4.0,5.1,3.2,5.3,5.3,5.0,5.6,4.4,1.9
Malaysia,5.2,5.9,6.3,4.6,7.1,7.2,4.4,5.6,4.7,6.0
"Bahamas, The",3.7,4.0,2.8,-1.5,-0.5,0.5,2.5,1.8,1.9,1.0
Angola,19.9,16.1,16.7,12.3,5.9,1.6,6.8,5.2,5.6,4.8
Montenegro,,,7.5,7.5,-1.8,1.1,0.2,-0.5,1.5,1.5
Mauritius,2.5,5.0,5.4,5.3,3.6,4.0,3.4,3.3,3.4,3.6
Honduras,4.2,6.0,6.3,4.0,2.5,2.8,3.8,3.9,2.8,3.1
Mali,6.1,5.1,2.8,5.1,5.2,4.5,-4.5,-1.2,4.8,7.2
Cape Verde,5.5,5.5,6.9,5.5,4.5,5.4,4.8,,,
Russia,6.4,6.7,8.1,5.6,3.8,4.0,3.6,3.4,1.3,0.6
New Caledonia,,,,,,,,0.6,0.6,2.8
Colombia,5.2,6.8,8.2,2.4,4.4,4.3,4.3,4.0,4.2,4.6
Suriname,5.0,5.0,5.1,6.0,3.5,4.4,4.0,4.8,4.7,1.8
European Union,1.7,3.2,3.0,0.9,1.7,1.8,-0.2,-0.3,0.1,1.4
China,10.2,11.1,11.9,9.0,10.3,10.3,7.8,7.7,7.7,7.3
Greece,3.7,4.3,4.0,2.9,-4.8,-4.5,-6.0,-6.4,-3.8,0.8
Nepal,2.7,1.9,3.2,5.3,3.5,4.6,4.6,4.9,3.6,5.4
Trinidad and Tobago,7.0,11.7,5.5,3.5,2.1,0.0,0.7,0.2,1.6,0.8
Turkmenistan,6.0,6.0,11.5,9.8,11.0,9.2,8.0,11.1,12.2,10.3
El Salvador,2.8,4.2,4.7,2.5,1.2,0.7,1.5,1.9,1.6,2.0
South Africa,4.9,5.0,5.1,3.1,3.0,2.8,2.6,2.5,2.0,1.5
Chad,6.0,1.3,1.3,-0.2,2.0,5.1,7.3,8.9,3.9,6.9
Nicaragua,4.0,3.7,3.8,3.2,2.8,4.5,3.7,5.2,4.6,4.7
Swaziland,1.8,2.1,2.3,2.7,2.0,2.0,-2.9,-1.5,0.0,2.5
United Arab Emirates,8.8,8.9,7.5,7.4,2.6,3.2,4.0,4.4,4.0,4.6
Morocco,1.7,9.4,2.2,6.2,4.2,3.2,2.9,2.7,5.1,2.4
"Congo, Republic of the",8.2,6.1,-1.6,6.4,10.5,9.1,4.9,3.8,5.8,6.8
Samoa,5.5,5.5,6.0,-3.4,-2.0,0.0,1.5,3.1,0.1,1.9
Benin,3.5,4.0,4.5,4.8,3.0,2.5,3.5,5.4,5.0,5.4
Guam,,,,,,,,1.3,1.3,0.6
Kuwait,8.3,12.7,4.7,8.5,3.2,2.0,6.3,6.2,2.3,0.1
World,4.7,5.3,5.2,2.9,4.6,,,,,
Netherlands Antilles,1.0,1.0,1.0,1.0,,,,,,
Brunei,1.7,0.4,0.4,-1.9,1.0,4.1,2.7,0.9,1.4,-2.3
"Gambia, The",5.5,6.5,7.0,5.9,5.0,5.7,-1.6,5.3,6.4,-0.2
Dominica,3.1,3.1,0.9,3.2,1.4,1.0,0.4,-1.7,1.1,3.9
Central African Republic,2.2,3.5,4.0,2.2,3.7,3.3,4.1,4.1,-14.5,1.0
Peru,6.4,8.0,9.0,9.8,7.8,8.8,6.0,6.3,5.1,2.4
Kyrgyzstan,-0.6,2.7,8.2,7.6,-3.5,-1.4,1.0,-0.9,7.4,3.6
Netherlands,1.5,3.0,3.5,2.0,1.7,1.7,-0.5,-1.2,-0.8,1.0
Denmark,3.2,3.5,1.7,-1.2,1.8,2.1,-0.4,-0.4,0.1,1.1
Egypt,4.9,6.8,7.1,7.2,5.3,5.1,2.0,2.2,1.8,2.2
Gabon,2.9,1.2,6.2,2.0,5.4,5.7,6.1,5.6,6.6,4.3
Tanzania,6.8,5.9,7.3,7.1,6.4,6.5,6.5,6.9,7.0,7.0
Canada,2.9,2.8,2.7,0.4,3.0,3.1,1.9,1.7,1.6,2.4
Liechtenstein,11.0,11.0,11.0,3.1,3.1,1.8,-0.5,-0.5,1.8,1.8
Oman,5.6,6.6,5.6,6.4,3.6,4.2,5.0,5.0,5.1,2.9
Moldova,7.1,4.0,3.0,7.2,3.1,6.9,3.0,-0.8,8.9,4.6
Senegal,6.1,2.0,4.6,2.5,3.9,4.2,3.7,3.5,4.0,4.7
Tuvalu,1.2,1.2,3.0,3.0,3.0,0.2,1.2,0.2,1.1,2.2
France,1.2,2.2,2.1,0.3,1.6,1.5,0.1,0.0,0.3,0.2
Sri Lanka,6.0,7.4,6.8,6.0,6.9,9.1,6.8,6.4,6.3,7.4
Equatorial Guinea,18.6,18.6,12.4,10.6,2.0,-0.8,5.7,5.3,-1.5,-0.3
Cuba,8.0,11.1,6.5,4.3,1.5,1.5,1.5,3.1,3.1,1.3
Guinea,2.0,2.2,1.5,4.5,3.0,1.9,4.8,3.9,2.9,1.1
Pakistan,6.6,6.6,5.3,3.4,2.7,4.8,3.7,4.4,3.6,4.0
Gibraltar,,,7.0,7.0,3.7,6.0,6.0,6.0,6.0,6.0
Algeria,5.5,2.9,4.5,3.5,4.1,3.3,2.6,3.3,3.1,3.8
Bulgaria,5.5,6.1,6.2,6.0,0.0,0.2,1.0,0.8,0.5,1.7
Mauritania,5.5,14.1,1.0,3.5,5.0,4.7,5.3,6.9,6.4,6.9
Lithuania,7.5,7.5,8.8,3.0,0.4,1.3,2.7,3.6,3.4,3.0
Uruguay,6.8,7.0,7.4,8.9,7.1,8.5,3.5,3.9,3.5,3.5
Yemen,2.8,2.6,2.8,3.2,5.2,8.0,-1.9,2.4,3.8,-0.2
Jersey,,,,,,,,,,-0.3
Seychelles,-3.0,-1.0,5.3,-0.9,3.5,6.2,3.0,2.9,3.3,3.3
Jordan,5.8,6.4,6.0,5.6,3.2,3.1,3.0,2.8,3.3,3.1
Azerbaijan,26.4,34.5,23.4,10.8,3.7,5.0,3.8,2.2,5.8,2.8
Niue,,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
Sweden,2.7,4.5,2.7,-0.4,4.1,5.5,1.2,1.0,0.9,2.3
Indonesia,5.6,5.5,6.3,6.1,6.0,6.1,6.0,6.2,5.3,5.0
Bahrain,5.9,7.1,6.7,6.3,3.9,4.1,2.0,4.8,4.4,4.5
Macau,2.8,,,15.0,1.0,1.0,20.7,10.0,11.9,11.9
Ireland,5.5,5.7,6.0,-3.0,-0.6,-1.0,0.7,0.2,0.6,5.2
Namibia,3.2,2.9,3.6,2.9,4.1,4.4,4.0,5.0,4.4,4.5
East Timor,1.8,,,,,,,,,
French Polynesia,,5.1,5.1,2.7,2.7,2.7,2.7,-0.4,-0.4,2.4
Zimbabwe,-7.7,-4.1,-5.5,-14.4,4.1,9.0,5.0,4.4,3.2,3.3
Fiji,1.7,3.1,-4.4,0.2,1.8,0.1,2.0,2.2,3.0,5.3
Saudi Arabia,6.5,4.3,3.5,4.4,3.8,3.7,6.0,5.1,3.6,3.5
New Zealand,2.3,1.5,3.1,0.0,2.1,1.5,2.2,2.7,2.5,3.3
Cameroon,2.4,3.9,2.7,3.3,2.8,3.0,4.7,4.6,4.6,5.7
Venezuela,9.3,10.3,8.4,4.8,-2.8,-1.9,5.7,5.6,1.6,-4.0
Comoros,3.0,3.0,-1.0,0.5,1.7,2.1,2.5,3.0,3.5,2.0
Turkey,7.4,6.1,4.5,0.9,7.3,8.2,3.0,2.2,3.8,2.9
Kazakhstan,9.5,10.6,8.5,2.4,4.9,7.0,5.5,5.1,5.0,4.3
Taiwan,4.0,4.7,5.7,0.1,8.3,10.8,1.3,1.3,2.2,3.8
Sudan,8.0,9.3,10.2,6.6,5.2,5.1,-11.2,-3.3,3.9,3.6
