drzava,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,69108,69481,84522,85632,86754,87884,89018,90156,91295,92436
Somalia,8863338,9118773,9558666,9832017,10112453,9925640,10085638,10251568,10428043,10616380
Israel,6352117,6426679,7112359,7233701,7353985,7473052,7590758,7707042,7821850,8049314
Lebanon,3874050,3925502,3971941,4017095,4125247,4143101,4140289,4131583,5882562,6184701
Gibraltar,27928,27967,28002,28034,28877,28956,29034,29111,29185,29258
Pakistan,165803560,164741924,172800048,176242949,184404791,187342721,190291129,193238868,196174380,199085847
Angola,12127071,12263596,12531357,12799293,13068161,13338541,18056072,18565269,19088106,19625353
Mexico,107449525,108700891,109955400,111211789,112468855,113724226,114975406,116220947,120286655,121736809
Falkland Islands (Islas Malvinas),2967,3105,3140,3140,3140,3140,3140,3140,2840,3361
Haiti,8308504,8706497,8924553,9035536,9719932,9719932,9801664,9893934,9996731,10110019
Afghanistan,31056997,31889923,32738376,28396000,29121286,29835392,30419928,31108077,31822848,32564342
Mali,11716829,11995402,12324029,12666987,13796354,14159904,15494466,15968882,16455903,16955536
Kenya,34707817,36913721,37953840,39002772,40046566,41070934,43013341,44037656,45010056,45925301
Argentina,39921833,40301927,40482000,40913584,41343201,41769726,42192494,42610981,43024374,43431886
Svalbard,2701,2214,2165,2116,2067,2019,1970,1921,1872,1872
Suriname,439117,470784,475996,481267,486618,491989,560157,566846,573311,579633
Guyana,767245,769095,770794,772298,748486,744768,741908,739903,735554,735222
Andorra,71201,71822,82627,83888,84525,84825,85082,85293,85458,85580
Switzerland,7523934,7554661,7581520,7604467,7623438,7639961,7925517,7996026,8061516,8121830
Turkey,70413958,71158647,71892808,76805524,77804122,78785548,79749461,80694485,81619392,79414269
Tajikistan,7320815,7076598,7211884,7349145,7487489,7627200,7768385,7910041,8051512,8191958
East Timor,1062777,,,,,,,,,
Trinidad and Tobago,1065842,1056608,1047366,1229953,1228691,1227505,1226383,1225225,1223916,1222363
Canada,33098932,33390141,33212696,33487208,33759742,34030589,34300083,34568211,34834841,35099836
Ireland,4062235,4109086,4156119,4203200,4622917,4670976,4722028,4775982,4832765,4892305
American Samoa,57794,57663,64827,65628,66432,67242,54947,54719,54517,54343
Moldova,4466706,4320490,4324450,4320748,4317483,4314377,3656843,3619925,3583288,3546847
Romania,22303552,22276056,22246862,22215421,21959278,21904551,21848504,21790479,21729871,21666350
Zambia,11502010,11477447,11669534,11862740,13460305,13881336,13817479,14222233,14638505,15066266
Gabon,1424906,1454867,1485832,1514993,1545255,1576665,1608321,1640286,1672597,1705336
Norway,4610820,4627926,4644457,4660539,4676305,4691849,4707270,4722701,5147792,5207689
Montserrat,9439,9538,5079,5097,5118,5140,5164,5189,5215,5241
Anguilla,13477,13677,14108,14436,14766,15094,15423,15754,16086,16418
Jordan,5906760,6053193,6198677,6342948,6407085,6508271,6508887,6482081,7930491,8117564
Nigeria,131859731,135031164,146255312,149229090,152217341,155215573,170123740,174507539,177155754,181562056
Cook Islands,21388,21750,12271,11870,11488,11124,10777,10447,10134,9838
Pitcairn Islands,45,48,48,48,48,48,48,65,48,48
Hungary,9981334,9956108,9930915,9905596,9992339,9976062,9958453,9939470,9919128,9897541
Saudi Arabia,27019731,27601038,28146656,28686633,25731776,26131703,26534504,26939583,27345986,27752316
Liberia,3042004,3195931,3334587,3441790,3685076,3786764,3887886,3989703,4092310,4195666
Italy,58133509,58147733,58145320,58126212,58090681,61016804,61261254,61482297,61680122,61855120
Armenia,2976372,2971650,2968586,2967004,2966802,2967975,2970495,2974184,3060631,3056382
Brazil,188078227,190010647,196342592,198739269,201103330,203429773,199321413,201009622,202656788,204259812
Germany,82422299,82400996,82369552,82329758,82282988,81471834,81305856,81147265,80996685,80854408
Sweden,9016596,9031088,9045389,9059651,9074055,9088728,9103788,9119423,9723809,9801616
Cyprus,784301,788457,792604,796740,1102677,1120489,1138071,1155403,1172458,1189197
Lithuania,3585906,3575439,3565205,3555179,3545319,3535547,3525761,3515858,3505738,2884433
France,60876136,63713926,64057792,64057792,64768389,65312249,65630692,65951611,66259012,66553766
Norfolk Island,1828,2114,2128,2141,2155,2169,2182,2196,2210,2210
British Virgin Islands,23098,23552,24041,24491,24939,25383,31148,31912,32680,33454
Croatia,4494749,4493312,4491543,4489409,4486881,4483804,4480043,4475611,4470534,4464844
Guernsey,65409,65573,65726,65870,64775,65068,65345,65605,65849,66080
El Salvador,6822378,6948073,7066403,7185218,6052064,6071774,6090646,6108590,6125512,6141350
Uzbekistan,27307134,27780059,27345026,27606007,27865738,28128600,28394180,28661637,28929716,29199942
Sudan,41236378,39379358,40218456,41087825,43939598,45047502,34206710,34847910,35482233,36108853
Honduras,7326496,7483763,7639327,7792854,7989415,8143564,8296693,8448465,8598561,8746673
Barbados,279912,280946,281968,284589,285653,286705,287733,288725,289680,290604
Indonesia,245452739,234693997,237512352,240271522,242968342,245613043,248645008,251160124,253609643,255993674
Turks and Caicos Islands,21152,21746,22352,22942,23528,44819,46335,47754,49070,50280
Belgium,10379067,10392226,10403951,10414336,10423493,10431477,10438353,10444268,10449361,11323973
Montenegro,,684736,678177,672180,666730,661807,657394,653474,650036,647073
India,1095351995,1129866154,1147995904,1166079217,1173108018,1189172906,1205073612,1220800359,1236344631,1251695584
Tunisia,10175014,10276158,10383577,10486339,10589025,10629186,10732900,10835873,10937521,11037225
Poland,38536869,38518241,38500696,38482919,38463689,38441588,38415284,38383809,38346279,38562189
World,6525170264,6602224175,6706993152,,,,,,,
Kiribati,105432,107817,110356,112850,99482,100743,101998,103248,104488,105711
Tuvalu,11810,11992,12177,12373,10472,10544,10619,10698,10782,10869
Vanuatu,208869,211971,215446,218519,221552,224564,256155,261565,266937,272264
Finland,5231372,5238460,5244749,5250275,5255068,5259250,5262930,5266114,5268799,5476922
Cuba,11382820,11394043,11423952,11451652,11477459,11087330,11075244,11061886,11047251,11031433
Iceland,299388,301931,304367,306694,308910,311058,313183,315281,317351,331918
Gaza Strip,1428757,1482405,1500202,1551859,1604238,1657155,1710257,1763387,1816379,1869055
Taiwan,23036087,22858872,22920946,22974347,23024956,23071779,23234936,23299716,23359928,23415126
Bolivia,8989046,9119152,9247816,9775246,9947418,10118683,10290003,10461053,10631486,10800882
Lesotho,2022331,2125262,2128180,2130819,1919552,1924886,1930493,1936181,1942008,1947701
Yemen,21456188,22230531,23013376,23822783,23495361,24133492,24771809,25408288,26052966,26737317
Cameroon,17340702,18060382,18467692,18879301,19294149,19711291,20129878,20549221,23130708,23739218
Guadeloupe,452776,,,,,,,,,
Akrotiri,,,,15700,15700,15700,15700,15700,15700,
Samoa,176908,214265,217083,219998,192001,193161,194320,195476,196628,197773
Western Sahara,273008,382617,393831,405210,491519,507160,522928,538811,554795,570866
Niger,12525094,12894865,13272679,15306252,15878271,16468886,16344687,16899327,17466172,18045729
Iraq,26783383,27499638,28221180,28945657,29671605,30399572,31129225,31858481,32585692,37056169
Monaco,32543,32671,32796,32965,30586,30539,30510,30500,30508,30535
Thailand,64631595,65068149,65493296,65905410,67089500,66720153,67091089,67448120,67741401,67976405
Kosovo,,,2126708,1804838,1815048,1825632,1836529,1847708,1859203,1870981
Greece,10688058,10706290,10722816,10737428,10749943,10760136,10767827,10772967,10775557,10775643
Portugal,10605870,10642836,10676910,10707924,10735765,10760305,10781459,10799270,10813834,10825309
Nicaragua,5570129,5675356,5785846,5891199,5995928,5666301,5727707,5788531,5848641,5907881
Cocos (Keeling) Islands,574,596,596,596,596,596,596,596,596,596
Palau,20579,20842,21093,20796,20879,20956,21032,21108,21186,21265
Burundi,8090068,8390505,8691005,8988091,9863117,10216190,10557259,10888321,10395931,10742276
Estonia,1324333,1315912,1307605,1299371,1291170,1282963,1274709,1266375,1257921,1265420
Liechtenstein,33987,34247,34498,34761,35002,35236,36713,37009,37313,37624
Niue,2166,1492,1444,1398,1354,1311,1269,1229,1190,1190
Uganda,28195754,30262610,31367972,32369558,33398682,34612250,33640833,34758809,35918915,37101745
Chile,16134219,16284741,16454143,16601707,16746491,16888760,17067369,17216945,17363894,17508260
Albania,3581655,3600523,3619778,3639453,2986952,2994667,3002859,3011405,3020209,3029278
Venezuela,25730435,26023528,26414816,26814843,27223228,27635743,28047938,28459085,28868486,29275460
Ecuador,13547510,13755680,13927650,14573101,14790608,15007343,15223680,15439429,15654411,15868396
Grenada,89703,89971,90343,90739,107818,108419,109011,109590,110152,110694
Holy See (Vatican City),932,821,824,826,829,832,836,839,842,842
Macedonia,2050554,2055915,2061315,2066718,2072086,2077328,2082370,2087171,2091719,2096015
Azerbaijan,7961619,8120247,8177717,8238672,8303512,8372373,9493600,9590159,9686210,9780780
Solomon Islands,552438,566842,581318,595613,559198,571890,584578,597248,609883,622469
Mongolia,2832224,2951786,2996081,3041142,3086918,3133318,3179997,3226516,2953190,2992908
